id	ground_truth	prediction
457	0	1
193	0	1
367	0	1
467	0	1
352	0	0
140	0	1
173	0	0
6	0	1
559	0	1
344	0	1
73	0	1
595	0	1
299	0	1
420	0	1
145	0	1
234	0	1
220	0	1
651	1	1
359	0	1
132	0	1
422	0	1
768	1	1
477	0	0
41	0	0
530	0	1
108	0	1
786	1	0
56	0	1
630	1	1
436	0	1
713	1	1
24	0	1
449	0	1
396	0	1
780	1	0
51	0	1
375	0	0
791	1	1
552	0	1
264	0	0
590	0	0
594	0	1
741	0	1
323	0	1
18	0	0
621	1	1
448	0	1
83	0	0
61	0	0
272	0	1
285	0	1
351	0	1
428	0	1
766	1	1
182	0	0
355	0	1
535	0	1
223	0	1
822	1	1
650	1	1
361	0	1
412	0	1
828	1	1
529	0	0
176	0	1
581	0	1
814	1	0
163	0	1
248	0	1
714	1	1
762	1	1
74	0	0
113	0	1
578	0	1
671	0	1
104	0	1
114	0	1
362	0	1
92	0	1
723	1	1
89	0	1
336	0	1
482	0	1
792	1	0
803	0	1
526	0	0
531	0	1
94	0	1
11	0	1
398	0	1
43	0	1
42	0	0
329	0	1
167	0	0
755	1	1
754	0	1
656	1	1
462	0	1
178	0	1
644	0	1
711	1	0
177	0	1
589	0	1
687	1	1
596	0	1
257	0	1
404	0	1
335	0	0
534	0	0
15	0	1
3	0	1
760	1	1
256	0	1
743	1	1
439	0	1
382	0	1
222	0	1
468	0	1
585	0	1
388	0	1
324	0	1
513	0	1
9	0	1
249	0	1
22	0	1
356	0	0
221	0	1
582	0	0
742	1	0
846	1	1
545	0	1
340	0	0
720	1	1
203	0	0
237	0	1
93	0	1
450	0	1
570	0	1
542	0	1
284	0	1
184	0	1
696	1	1
445	0	0
153	0	1
75	0	0
794	0	1
533	0	1
277	0	1
68	0	1
547	0	1
188	0	1
271	0	1
722	1	1
538	0	1
236	0	1
88	0	0
733	1	1
117	0	0
125	0	0
708	1	0
289	0	1
238	0	1
0	0	0
853	1	1
433	0	0
752	1	1
395	0	0
514	0	0
126	0	1
278	0	1
668	1	1
116	0	1
228	0	1
603	0	1
662	1	1
486	0	0
274	0	1
318	0	1
587	0	1
144	0	1
854	1	1
541	0	1
784	1	1
622	1	1
369	0	0
268	0	1
604	1	1
307	0	1
423	0	1
310	0	1
506	0	1
46	0	1
349	0	1
371	0	1
558	0	1
261	0	1
195	0	1
861	1	1
721	1	1
107	0	1
59	0	0
638	1	1
494	0	1
100	0	1
443	0	1
588	0	1
774	1	0
620	1	1
579	0	1
179	0	1
304	0	1
551	0	0
57	0	1
831	1	1
149	0	1
124	0	1
680	0	1
749	0	0
185	0	0
576	0	1
50	0	1
341	0	1
446	0	1
851	0	1
519	0	1
321	0	1
353	0	1
798	0	1
142	0	1
470	0	1
370	0	0
800	0	0
141	0	1
399	0	1
493	0	1
263	0	1
320	0	1
19	0	1
172	0	1
841	1	1
312	0	1
390	0	1
837	1	1
12	0	1
407	0	0
408	0	1
305	0	1
354	0	1
25	0	1
636	1	1
169	0	1
781	0	0
38	0	1
175	0	1
245	0	1
717	1	1
583	0	1
704	1	1
740	1	0
154	0	1
287	0	1
523	0	1
17	0	1
127	0	1
322	0	1
255	0	1
692	1	1
829	1	0
190	0	1
115	0	0
536	0	1
180	0	1
301	0	1
659	1	1
618	1	1
629	1	1
597	0	1
695	1	1
517	0	1
847	1	1
45	0	1
820	1	1
157	0	0
691	0	1
171	0	1
16	0	1
511	0	0
48	0	1
835	1	1
783	1	1
515	0	0
598	0	1
480	0	1
283	0	1
602	0	0
225	0	1
26	0	1
676	1	1
437	0	1
364	0	1
229	0	0
37	0	0
830	1	1
374	0	1
469	0	1
832	1	1
734	0	1
631	1	1
194	0	1
736	1	1
745	1	0
503	0	1
834	1	1
718	1	1
833	0	1
162	0	1
610	1	1
152	0	0
593	0	0
628	0	1
655	1	1
111	0	1
226	0	1
599	0	0
103	0	1
421	0	1
419	0	1
586	0	0
119	0	0
53	0	1
151	0	1
403	0	0
813	1	0
207	0	1
728	1	1
843	0	1
8	0	1
821	1	1
36	0	1
452	0	0
253	0	1
303	0	1
751	1	1
571	0	1
616	0	0
625	1	1
262	0	1
297	0	1
414	0	1
150	0	1
682	0	0
764	1	1
550	0	1
488	0	1
147	0	0
146	0	1
626	1	1
801	1	1
811	1	1
348	0	1
463	0	1
325	0	1
186	0	1
123	0	1
735	0	1
608	1	0
143	0	1
824	1	0
197	0	1
609	1	1
279	0	0
293	0	1
400	0	0
122	0	1
183	0	1
202	0	1
438	0	1
246	0	1
415	0	1
763	0	1
129	0	1
637	1	1
402	0	1
678	0	1
667	1	1
785	1	1
219	0	1
641	0	1
787	1	1
652	1	1
790	1	1
624	1	1
767	0	0
660	1	1
386	0	1
836	1	1
509	0	1
267	0	0
709	0	1
441	0	0
496	0	0
112	0	1
232	0	1
750	1	0
607	0	1
373	0	1
845	0	1
233	0	1
679	1	0
317	0	1
648	1	1
410	0	1
773	1	1
358	0	1
258	0	1
627	1	1
632	1	1
282	0	1
376	0	1
384	0	0
224	0	0
819	0	1
705	1	0
472	0	1
347	0	0
505	0	0
639	1	1
850	1	0
799	1	1
778	0	1
619	1	1
737	1	1
645	1	1
730	0	1
556	0	0
823	1	1
577	0	1
85	0	1
242	0	1
698	0	0
159	0	1
524	0	1
35	0	1
540	0	1
170	0	1
654	1	1
739	0	1
731	1	1
812	1	1
95	0	1
563	0	1
240	0	0
574	0	1
690	1	1
